"state","city","tourist_place","category","date_recorded","altitude","climate_type","season","climate_change_risk","rainfall_mm"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","4/8/2023","3863","Mountain","Monsoon","Low","317"
"Delhi","Delhi","India Gate","Monument","2/16/2023","563","Mountain","Monsoon","Moderate","321"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","11/8/2023","1957","Humid","Monsoon","High","89"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","5/16/2023","1333","Tropical","Monsoon","High","255"
"Lakshadweep","Lakshadweep","Agatti Island","Island","8/11/2023","1866","Hot-Dry","Winter","High","169"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","6/12/2023","1049","Hot-Dry","Winter","Moderate","180"
"West Bengal","Kolkata","Victoria Memorial","Monument","8/25/2023","1196","Tropical","Monsoon","High","271"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","7/28/2023","1517","Tropical","Monsoon","High","315"
"Goa","Goa","Calangute Beach","Beach","4/12/2023","3575","Humid","Winter","High","41"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","11/10/2023","273","Mountain","Monsoon","High","108"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","4/3/2023","1512","Mountain","Summer","Moderate","14"
"Kerala","Kochi","Fort Kochi","Heritage","10/31/2023","3623","Mountain","Monsoon","High","45"
"Odisha","Konark","Sun Temple","Temple","3/28/2023","587","Cold","Monsoon","Moderate","228"
"Karnataka","Mysore","Mysore Palace","Palace","2/18/2023","2397","Mountain","Winter","Low","58"
"West Bengal","Kolkata","Victoria Memorial","Monument","10/31/2023","3400","Humid","Summer","Low","326"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","1/26/2023","2546","Hot-Dry","Winter","High","242"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","3/15/2023","2194","Tropical","Winter","Moderate","136"
"Karnataka","Hampi","Virupaksha Temple","Temple","2/19/2023","3402","Hot-Dry","Summer","Low","346"
"Telangana","Hyderabad","Charminar","Monument","5/9/2023","2096","Cold","Winter","Low","269"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","10/30/2023","1313","Tropical","Summer","Low","67"
"Punjab","Amritsar","Golden Temple","Temple","1/3/2023","1001","Mountain","Monsoon","High","137"
"Uttar Pradesh","Agra","Taj Mahal","Monument","5/27/2023","2374","Hot-Dry","Winter","Moderate","138"
"Odisha","Konark","Sun Temple","Temple","11/23/2023","1411","Mountain","Monsoon","Low","335"
"Gujarat","Somnath","Somnath Temple","Temple","11/26/2023","1863","Tropical","Summer","Low","330"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","6/23/2023","3902","Tropical","Monsoon","Moderate","226"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","11/15/2023","3536","Hot-Dry","Summer","High","276"
"Goa","Goa","Calangute Beach","Beach","8/9/2023","2089","Humid","Summer","Moderate","388"
"Sikkim","Gangtok","Tsomgo Lake","Lake","7/20/2023","3688","Tropical","Monsoon","Moderate","98"
"Rajasthan","Jaipur","Hawa Mahal","Monument","11/17/2023","2629","Humid","Winter","High","210"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","11/16/2023","1026","Humid","Summer","High","316"
"Odisha","Puri","Jagannath Temple","Temple","3/12/2023","1348","Hot-Dry","Monsoon","High","146"
"Uttar Pradesh","Agra","Agra Fort","Monument","1/11/2023","210","Cold","Summer","Low","342"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","7/12/2023","421","Tropical","Monsoon","Moderate","215"
"Goa","Goa","Calangute Beach","Beach","9/15/2023","1311","Cold","Monsoon","High","204"
"Odisha","Puri","Jagannath Temple","Temple","11/29/2023","3826","Mountain","Winter","High","139"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","7/20/2023","248","Tropical","Summer","High","199"
"Telangana","Hyderabad","Golconda Fort","Fort","9/24/2023","3134","Cold","Summer","High","168"
"Uttar Pradesh","Agra","Agra Fort","Monument","3/29/2023","3841","Hot-Dry","Winter","Moderate","227"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","10/21/2023","3928","Cold","Winter","High","312"
"Kerala","Kochi","Fort Kochi","Heritage","6/9/2023","1898","Humid","Monsoon","Low","280"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","1/3/2023","3127","Mountain","Summer","High","344"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","10/4/2023","2536","Humid","Summer","Low","297"
"Ladakh","Leh","Pangong Lake","Lake","4/22/2023","3283","Cold","Monsoon","High","76"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","5/22/2023","577","Tropical","Monsoon","Moderate","176"
"Kerala","Munnar","Tea Gardens","Nature","10/18/2023","2691","Humid","Monsoon","Low","21"
"Rajasthan","Jaipur","Hawa Mahal","Monument","10/17/2023","1420","Cold","Winter","Moderate","156"
"West Bengal","Kolkata","Howrah Bridge","Bridge","7/2/2023","2478","Cold","Monsoon","High","191"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","6/27/2023","2025","Cold","Monsoon","Low","378"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","6/3/2023","2683","Hot-Dry","Winter","Low","93"
"Karnataka","Mysore","Mysore Palace","Palace","4/28/2023","3607","Mountain","Winter","Moderate","198"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","9/8/2023","2161","Hot-Dry","Monsoon","High","316"
"Ladakh","Leh","Pangong Lake","Lake","3/15/2023","132","Humid","Summer","High","5"
"Punjab","Amritsar","Golden Temple","Temple","2/16/2023","2600","Cold","Monsoon","High","110"
"Uttar Pradesh","Agra","Agra Fort","Monument","10/7/2023","3780","Hot-Dry","Winter","Moderate","390"
"Uttar Pradesh","Agra","Taj Mahal","Monument","5/16/2023","481","Cold","Winter","High","359"
"Delhi","Delhi","India Gate","Monument","9/20/2023","2735","Tropical","Summer","High","171"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","1/16/2023","356","Mountain","Monsoon","High","121"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","10/2/2023","1059","Mountain","Winter","Low","318"
"Meghalaya","Shillong","Living Root Bridges","Nature","9/1/2023","2911","Hot-Dry","Summer","High","110"
"Telangana","Hyderabad","Charminar","Monument","1/12/2023","1418","Mountain","Summer","Low","141"
"Delhi","Delhi","India Gate","Monument","9/16/2023","2630","Cold","Summer","High","128"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","3/18/2023","3266","Tropical","Winter","Low","5"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","8/23/2023","901","Cold","Monsoon","Low","104"
"Tamil Nadu","Chennai","Marina Beach","Beach","10/27/2023","2922","Tropical","Monsoon","High","385"
"Rajasthan","Jaipur","Hawa Mahal","Monument","10/22/2023","792","Cold","Winter","Low","33"
"Tamil Nadu","Chennai","Marina Beach","Beach","7/20/2023","1412","Cold","Monsoon","Moderate","140"
"Odisha","Puri","Jagannath Temple","Temple","12/1/2023","1341","Tropical","Winter","High","117"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","11/10/2023","687","Hot-Dry","Summer","Low","277"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","6/23/2023","3241","Hot-Dry","Winter","Moderate","47"
"Odisha","Konark","Sun Temple","Temple","10/9/2023","3847","Cold","Summer","High","305"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","6/2/2023","2082","Tropical","Monsoon","Moderate","74"
"Goa","Goa","Calangute Beach","Beach","9/19/2023","1989","Mountain","Winter","Low","199"
"Tamil Nadu","Chennai","Marina Beach","Beach","12/17/2023","3301","Humid","Summer","High","90"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","9/24/2023","353","Humid","Summer","Low","240"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","7/7/2023","2784","Humid","Monsoon","High","393"
"Lakshadweep","Lakshadweep","Agatti Island","Island","11/30/2023","3458","Humid","Winter","High","107"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","3/3/2023","2470","Cold","Summer","High","1"
"West Bengal","Kolkata","Victoria Memorial","Monument","4/5/2023","2002","Tropical","Summer","Low","37"
"Uttar Pradesh","Agra","Taj Mahal","Monument","4/23/2023","3866","Cold","Summer","High","230"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","7/8/2023","1861","Cold","Summer","Moderate","34"
"West Bengal","Kolkata","Howrah Bridge","Bridge","3/28/2023","945","Tropical","Winter","Low","62"
"Goa","Goa","Baga Beach","Beach","1/30/2023","2369","Cold","Winter","Low","50"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","5/10/2023","3075","Hot-Dry","Monsoon","Low","67"
"West Bengal","Kolkata","Howrah Bridge","Bridge","2/26/2023","1563","Mountain","Winter","Moderate","163"
"Maharashtra","Pune","Shaniwar Wada","Fort","4/4/2023","3925","Tropical","Winter","Moderate","363"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","12/9/2023","3764","Mountain","Winter","High","367"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","8/11/2023","1611","Humid","Summer","Moderate","118"
"Goa","Goa","Baga Beach","Beach","4/30/2023","2153","Cold","Winter","Moderate","37"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","3/4/2023","418","Cold","Winter","Low","392"
"Uttar Pradesh","Agra","Taj Mahal","Monument","8/2/2023","131","Hot-Dry","Monsoon","High","56"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","2/11/2023","256","Cold","Monsoon","High","346"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","8/9/2023","2575","Cold","Winter","Low","82"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","9/1/2023","2476","Tropical","Winter","Low","117"
"Kerala","Munnar","Tea Gardens","Nature","11/18/2023","677","Hot-Dry","Monsoon","Low","24"
"Maharashtra","Pune","Shaniwar Wada","Fort","5/31/2023","2784","Tropical","Summer","Moderate","366"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","10/22/2023","1963","Tropical","Winter","Low","276"
"Lakshadweep","Lakshadweep","Agatti Island","Island","10/2/2023","1327","Mountain","Summer","Low","2"
"Lakshadweep","Lakshadweep","Agatti Island","Island","1/19/2023","1301","Hot-Dry","Winter","High","278"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","3/25/2023","953","Humid","Winter","Moderate","256"
"Ladakh","Leh","Pangong Lake","Lake","3/28/2023","2883","Mountain","Summer","Low","108"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","3/8/2023","1614","Cold","Monsoon","Low","248"
"Karnataka","Hampi","Virupaksha Temple","Temple","8/29/2023","3455","Hot-Dry","Monsoon","Low","41"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","3/18/2023","1865","Humid","Monsoon","High","397"
"Maharashtra","Mumbai","Marine Drive","Coastal","3/18/2023","771","Tropical","Winter","Moderate","256"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","3/27/2023","77","Hot-Dry","Summer","Low","393"
"Punjab","Amritsar","Golden Temple","Temple","9/12/2023","3888","Mountain","Monsoon","Moderate","365"
"West Bengal","Kolkata","Howrah Bridge","Bridge","1/10/2023","1856","Humid","Summer","Moderate","384"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","8/21/2023","1199","Hot-Dry","Monsoon","Moderate","391"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","3/14/2023","1286","Mountain","Monsoon","Moderate","258"
"Maharashtra","Pune","Shaniwar Wada","Fort","11/4/2023","1728","Humid","Summer","Low","11"
"Ladakh","Leh","Pangong Lake","Lake","2/13/2023","1903","Cold","Monsoon","Low","265"
"West Bengal","Kolkata","Victoria Memorial","Monument","2/26/2023","399","Humid","Monsoon","Low","30"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","11/28/2023","3008","Cold","Winter","Low","161"
"Gujarat","Somnath","Somnath Temple","Temple","9/2/2023","3745","Cold","Winter","Low","307"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","8/9/2023","2482","Humid","Summer","High","310"
"Ladakh","Leh","Pangong Lake","Lake","8/5/2023","264","Humid","Summer","High","259"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","9/13/2023","18","Mountain","Monsoon","Moderate","14"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","6/4/2023","1775","Hot-Dry","Winter","Moderate","92"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","9/13/2023","3828","Mountain","Summer","High","2"
"Telangana","Hyderabad","Charminar","Monument","10/28/2023","1980","Mountain","Winter","Moderate","277"
"Gujarat","Somnath","Somnath Temple","Temple","8/21/2023","312","Humid","Winter","High","33"
"Goa","Goa","Baga Beach","Beach","5/18/2023","3312","Tropical","Summer","Moderate","359"
"Meghalaya","Shillong","Living Root Bridges","Nature","2/20/2023","3144","Hot-Dry","Winter","High","33"
"Kerala","Munnar","Tea Gardens","Nature","4/22/2023","1421","Mountain","Winter","Low","249"
"Delhi","Delhi","India Gate","Monument","11/22/2023","3583","Tropical","Monsoon","High","0"
"Karnataka","Mysore","Mysore Palace","Palace","11/7/2023","1102","Mountain","Summer","Moderate","41"
"Maharashtra","Mumbai","Gateway of India","Monument","10/7/2023","644","Hot-Dry","Summer","Low","75"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","10/20/2023","1988","Tropical","Monsoon","Moderate","9"
"Odisha","Konark","Sun Temple","Temple","10/12/2023","1572","Hot-Dry","Monsoon","Low","67"
"Gujarat","Somnath","Somnath Temple","Temple","1/23/2023","27","Cold","Monsoon","Low","164"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","6/2/2023","3016","Tropical","Winter","High","313"
"West Bengal","Kolkata","Victoria Memorial","Monument","6/16/2023","1179","Cold","Monsoon","Moderate","59"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","4/29/2023","993","Hot-Dry","Summer","Moderate","253"
"Telangana","Hyderabad","Charminar","Monument","8/16/2023","914","Hot-Dry","Winter","Low","124"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","7/2/2023","3505","Mountain","Summer","Moderate","41"
"Delhi","Delhi","Red Fort","Fort","2/4/2023","1840","Hot-Dry","Winter","Moderate","154"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","6/8/2023","1105","Tropical","Winter","Low","0"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","7/14/2023","3295","Mountain","Monsoon","High","368"
"Kerala","Munnar","Tea Gardens","Nature","12/17/2023","1581","Cold","Winter","High","165"
"Odisha","Puri","Jagannath Temple","Temple","8/6/2023","3955","Tropical","Winter","Low","239"
"Gujarat","Somnath","Somnath Temple","Temple","9/23/2023","3107","Cold","Winter","Moderate","137"
"Kerala","Munnar","Tea Gardens","Nature","3/20/2023","370","Hot-Dry","Monsoon","Low","12"
"Odisha","Puri","Jagannath Temple","Temple","10/18/2023","54","Cold","Winter","Moderate","48"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","3/20/2023","198","Cold","Winter","Moderate","39"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","12/16/2023","1581","Mountain","Summer","Moderate","356"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","9/25/2023","3738","Humid","Summer","High","248"
"West Bengal","Kolkata","Howrah Bridge","Bridge","11/20/2023","697","Hot-Dry","Monsoon","Moderate","350"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","6/9/2023","1813","Cold","Summer","Moderate","356"
"Rajasthan","Jaipur","Hawa Mahal","Monument","9/25/2023","727","Humid","Summer","High","368"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","5/11/2023","3744","Cold","Winter","Moderate","256"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","12/19/2023","1058","Hot-Dry","Summer","Moderate","25"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","1/20/2023","342","Tropical","Winter","High","77"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","6/8/2023","1662","Cold","Summer","Low","142"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","1/12/2023","3101","Cold","Winter","High","355"
"Telangana","Hyderabad","Golconda Fort","Fort","11/29/2023","3424","Cold","Winter","Moderate","321"
"Kerala","Munnar","Tea Gardens","Nature","2/6/2023","278","Humid","Winter","High","224"
"Tamil Nadu","Chennai","Marina Beach","Beach","5/23/2023","657","Cold","Monsoon","High","334"
"Goa","Goa","Baga Beach","Beach","8/14/2023","3347","Cold","Monsoon","Moderate","333"
"Odisha","Puri","Jagannath Temple","Temple","5/31/2023","2239","Tropical","Winter","Moderate","204"
"Odisha","Konark","Sun Temple","Temple","8/22/2023","3017","Mountain","Monsoon","Low","106"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","5/3/2023","705","Cold","Winter","Low","291"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","11/10/2023","592","Mountain","Summer","Moderate","391"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","11/23/2023","389","Tropical","Monsoon","High","167"
"Kerala","Munnar","Tea Gardens","Nature","9/24/2023","49","Humid","Monsoon","Moderate","343"
"Telangana","Hyderabad","Golconda Fort","Fort","1/16/2023","610","Mountain","Summer","High","163"
"Maharashtra","Mumbai","Gateway of India","Monument","4/26/2023","1050","Humid","Summer","Moderate","381"
"Gujarat","Somnath","Somnath Temple","Temple","12/9/2023","356","Cold","Monsoon","Low","11"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","10/4/2023","1813","Cold","Summer","High","395"
"Ladakh","Leh","Pangong Lake","Lake","11/21/2023","3425","Humid","Summer","High","32"
"Meghalaya","Shillong","Living Root Bridges","Nature","7/29/2023","551","Cold","Monsoon","Low","188"
"Maharashtra","Pune","Shaniwar Wada","Fort","1/25/2023","1982","Cold","Winter","High","349"
"Delhi","Delhi","Red Fort","Fort","4/16/2023","3742","Hot-Dry","Summer","High","382"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","4/10/2023","267","Mountain","Winter","High","303"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","9/12/2023","495","Cold","Winter","High","145"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","10/28/2023","2595","Humid","Summer","Moderate","160"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","2/11/2023","825","Hot-Dry","Summer","High","253"
"Goa","Goa","Baga Beach","Beach","12/2/2023","1757","Hot-Dry","Summer","Moderate","384"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","2/26/2023","2195","Cold","Summer","High","203"
"Punjab","Amritsar","Golden Temple","Temple","9/18/2023","3551","Mountain","Monsoon","Low","368"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","5/7/2023","899","Mountain","Monsoon","Moderate","253"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","10/21/2023","363","Humid","Monsoon","Moderate","301"
"Telangana","Hyderabad","Charminar","Monument","7/1/2023","767","Tropical","Winter","Low","125"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","9/26/2023","2268","Cold","Summer","High","352"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","5/18/2023","2227","Mountain","Monsoon","High","26"
"Maharashtra","Pune","Shaniwar Wada","Fort","2/2/2023","2045","Tropical","Monsoon","Moderate","283"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","11/13/2023","3915","Cold","Monsoon","Moderate","186"
"Goa","Goa","Calangute Beach","Beach","12/9/2023","499","Humid","Summer","Low","56"
"Delhi","Delhi","Red Fort","Fort","11/11/2023","1186","Cold","Winter","Moderate","303"
"Goa","Goa","Baga Beach","Beach","4/15/2023","972","Mountain","Monsoon","Moderate","235"
"West Bengal","Kolkata","Howrah Bridge","Bridge","4/12/2023","1514","Cold","Monsoon","Moderate","205"
"Karnataka","Mysore","Mysore Palace","Palace","11/6/2023","3655","Humid","Winter","Moderate","399"
"Telangana","Hyderabad","Charminar","Monument","12/25/2023","1761","Mountain","Winter","High","330"
"Odisha","Puri","Jagannath Temple","Temple","12/22/2023","1320","Mountain","Winter","High","100"
"Rajasthan","Jaipur","Amber Fort","Fort","4/17/2023","2631","Hot-Dry","Summer","Low","16"
"Delhi","Delhi","India Gate","Monument","9/22/2023","501","Cold","Summer","High","20"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","6/11/2023","310","Hot-Dry","Winter","Low","5"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","8/15/2023","265","Cold","Monsoon","Moderate","394"
"Meghalaya","Shillong","Living Root Bridges","Nature","6/27/2023","1073","Hot-Dry","Winter","Moderate","99"
"Meghalaya","Shillong","Living Root Bridges","Nature","9/3/2023","518","Cold","Monsoon","Moderate","145"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","8/6/2023","1902","Tropical","Monsoon","Moderate","54"
"Telangana","Hyderabad","Charminar","Monument","8/2/2023","1066","Hot-Dry","Monsoon","High","370"
"Lakshadweep","Lakshadweep","Agatti Island","Island","1/18/2023","585","Cold","Summer","High","155"
"Punjab","Amritsar","Golden Temple","Temple","12/19/2023","3249","Humid","Monsoon","High","90"
"Uttar Pradesh","Agra","Agra Fort","Monument","2/13/2023","392","Tropical","Winter","High","295"
"Goa","Goa","Baga Beach","Beach","10/15/2023","502","Tropical","Monsoon","High","375"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","12/21/2023","456","Cold","Monsoon","High","222"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","1/21/2023","393","Mountain","Summer","Moderate","115"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","10/5/2023","1995","Cold","Winter","Moderate","15"
"Maharashtra","Mumbai","Marine Drive","Coastal","10/26/2023","3831","Tropical","Summer","Moderate","396"
"Meghalaya","Shillong","Living Root Bridges","Nature","4/27/2023","2905","Mountain","Summer","High","376"
"Uttar Pradesh","Agra","Taj Mahal","Monument","6/13/2023","1209","Humid","Summer","Moderate","351"
"Lakshadweep","Lakshadweep","Agatti Island","Island","7/12/2023","2754","Humid","Winter","Moderate","147"
"Karnataka","Hampi","Virupaksha Temple","Temple","10/11/2023","1567","Hot-Dry","Summer","Low","207"
"Karnataka","Hampi","Virupaksha Temple","Temple","11/26/2023","347","Tropical","Summer","Low","193"
"Tamil Nadu","Chennai","Marina Beach","Beach","1/12/2023","2151","Hot-Dry","Summer","Low","144"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","10/23/2023","267","Mountain","Monsoon","Low","343"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","12/22/2023","728","Mountain","Monsoon","Moderate","92"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","6/21/2023","2392","Mountain","Winter","Low","255"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","12/2/2023","2626","Cold","Monsoon","Moderate","133"
"Maharashtra","Mumbai","Marine Drive","Coastal","10/24/2023","1826","Mountain","Monsoon","High","99"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","8/5/2023","2501","Hot-Dry","Summer","High","8"
"Ladakh","Leh","Pangong Lake","Lake","1/24/2023","3216","Humid","Monsoon","High","324"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","4/26/2023","1735","Hot-Dry","Summer","High","103"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","2/27/2023","547","Cold","Monsoon","Low","217"
"Uttar Pradesh","Agra","Taj Mahal","Monument","5/26/2023","2592","Mountain","Summer","High","139"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","9/29/2023","1651","Cold","Monsoon","Moderate","31"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","9/2/2023","1811","Cold","Summer","Moderate","244"
"Delhi","Delhi","Red Fort","Fort","3/21/2023","2284","Mountain","Monsoon","High","198"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","3/18/2023","2343","Tropical","Summer","High","312"
"Uttar Pradesh","Agra","Agra Fort","Monument","1/21/2023","776","Humid","Monsoon","High","20"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","5/20/2023","1894","Mountain","Summer","High","30"
"Kerala","Kochi","Fort Kochi","Heritage","11/12/2023","201","Tropical","Monsoon","Low","288"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","1/19/2023","3223","Hot-Dry","Monsoon","High","314"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","5/4/2023","119","Humid","Winter","Low","248"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","3/18/2023","298","Tropical","Monsoon","Moderate","175"
"Ladakh","Leh","Pangong Lake","Lake","3/8/2023","1374","Hot-Dry","Winter","High","51"
"Rajasthan","Jaipur","Amber Fort","Fort","9/11/2023","3205","Humid","Summer","Moderate","294"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","3/30/2023","3491","Cold","Monsoon","Low","294"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","5/12/2023","1615","Cold","Winter","Low","13"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","1/28/2023","1888","Cold","Summer","Moderate","132"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","5/26/2023","3864","Mountain","Summer","High","271"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","7/23/2023","2062","Humid","Monsoon","Moderate","303"
"Maharashtra","Mumbai","Gateway of India","Monument","11/29/2023","3846","Tropical","Winter","Moderate","338"
"Telangana","Hyderabad","Charminar","Monument","12/12/2023","1046","Hot-Dry","Summer","High","142"
"Gujarat","Somnath","Somnath Temple","Temple","7/10/2023","1764","Mountain","Monsoon","Moderate","198"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","11/21/2023","711","Hot-Dry","Summer","Moderate","270"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","4/11/2023","2835","Cold","Winter","Low","307"
"Ladakh","Leh","Pangong Lake","Lake","1/7/2023","2194","Tropical","Winter","High","193"
"Lakshadweep","Lakshadweep","Agatti Island","Island","8/15/2023","1836","Tropical","Summer","Moderate","267"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","12/8/2023","2898","Cold","Winter","Low","89"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","8/11/2023","54","Humid","Winter","High","299"
"Maharashtra","Mumbai","Marine Drive","Coastal","8/16/2023","2872","Cold","Winter","High","359"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","2/5/2023","1494","Mountain","Monsoon","Moderate","94"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","5/31/2023","3246","Tropical","Summer","High","353"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","5/12/2023","2240","Cold","Winter","Moderate","181"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","3/23/2023","465","Cold","Summer","Moderate","268"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","5/16/2023","1002","Mountain","Summer","Low","32"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","8/12/2023","3435","Humid","Summer","Moderate","156"
"Uttar Pradesh","Agra","Taj Mahal","Monument","4/27/2023","1330","Hot-Dry","Summer","High","359"
"Kerala","Kochi","Fort Kochi","Heritage","4/3/2023","2898","Mountain","Summer","Low","1"
"Maharashtra","Mumbai","Gateway of India","Monument","3/7/2023","386","Mountain","Monsoon","High","71"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","11/30/2023","1120","Mountain","Summer","Moderate","298"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","12/11/2023","2600","Cold","Summer","Moderate","225"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","9/10/2023","486","Humid","Monsoon","High","207"
