disease_name,severity,medications,safety_tips,precautions,risk_level
Stroke,Moderate,Antibiotics; Bronchodilator,Monitor symptoms regularly; Wear protective mask; Stay hydrated; Avoid extreme temperatures,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,Low
Back Pain,Low,ORS; Steroids; Ibuprofen; Paracetamol,Avoid extreme temperatures; Carry prescribed medicines; Stay hydrated; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,Low
Rabies,High,Antihistamine; Antivirals,Avoid crowded places; Carry prescribed medicines; Stay hydrated; Maintain hygiene,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Low
Chickenpox,High,Antihistamine; Antimalarial; ORS,Avoid extreme temperatures; Stay hydrated; Maintain hygiene; Take adequate rest,Consult doctor before travel; Use mosquito repellent; Avoid heavy physical activity,Critical
Dengue,High,Antihistamine; Antivirals; Steroids,Wear protective mask; Avoid extreme temperatures; Take adequate rest; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Moderate
Chickenpox,Low,Ibuprofen; Antibiotics,Avoid extreme temperatures; Stay hydrated; Maintain hygiene; Avoid crowded places,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,Critical
Polio,High,Insulin; Antivirals,Avoid crowded places; Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures,Consult doctor before travel; Carry emergency kit; Follow medication schedule,High
Motion Sickness,Moderate,Paracetamol; Antivirals; Antibiotics,Take adequate rest; Wear protective mask; Maintain hygiene; Avoid extreme temperatures,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Low
Sinusitis,Low,Antivirals; Antibiotics; Antimalarial,Monitor symptoms regularly; Take adequate rest; Maintain hygiene; Avoid crowded places,Consult doctor before travel; Follow medication schedule; Carry emergency kit,Critical
Rabies,High,Pain Reliever; Bronchodilator,Avoid crowded places; Monitor symptoms regularly; Avoid extreme temperatures; Take adequate rest,Avoid allergens; Use mosquito repellent; Carry emergency kit,Critical
Cholera,Moderate,Steroids; Ibuprofen; Antibiotics,Avoid crowded places; Carry prescribed medicines; Wear protective mask; Stay hydrated,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,High
Thyroid Disorder,Low,Antibiotics; Ibuprofen,Carry prescribed medicines; Stay hydrated; Take adequate rest; Wear protective mask,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,High
Pneumonia,Low,Steroids; Antivirals; Paracetamol,Wear protective mask; Maintain hygiene; Avoid crowded places; Carry prescribed medicines,Consult doctor before travel; Carry emergency kit; Avoid allergens,High
Celiac Disease,Low,Paracetamol; Antihistamine; Antimalarial,Avoid extreme temperatures; Maintain hygiene; Monitor symptoms regularly; Avoid crowded places,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,High
Malaria,Moderate,Antibiotics; Antivirals; Pain Reliever,Carry prescribed medicines; Maintain hygiene; Avoid crowded places; Wear protective mask,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Moderate
Altitude Sickness,Low,Paracetamol; Pain Reliever; Antivirals; ORS,Take adequate rest; Monitor symptoms regularly; Maintain hygiene; Avoid crowded places,Consult doctor before travel; Follow medication schedule; Use mosquito repellent,Moderate
Vitamin B12 Deficiency,Moderate,Paracetamol; Ibuprofen,Take adequate rest; Avoid crowded places; Avoid extreme temperatures; Monitor symptoms regularly,Avoid heavy physical activity; Carry emergency kit; Use mosquito repellent,Low
Depression,Low,Paracetamol; ORS; Antivirals; Insulin,Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly; Take adequate rest,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,High
Malaria,High,Ibuprofen; ORS; Antimalarial,Avoid extreme temperatures; Carry prescribed medicines; Maintain hygiene; Wear protective mask,Avoid heavy physical activity; Use mosquito repellent; Consult doctor before travel,Critical
Leprosy,Low,Pain Reliever; ORS; Antibiotics; Antihistamine,Avoid extreme temperatures; Carry prescribed medicines; Maintain hygiene; Avoid crowded places,Follow medication schedule; Carry emergency kit; Use mosquito repellent,Critical
Dengue,Moderate,Ibuprofen; Insulin; Antibiotics; Bronchodilator,Avoid crowded places; Avoid extreme temperatures; Take adequate rest; Maintain hygiene,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Moderate
Hypertension,Low,Ibuprofen; Antivirals,Maintain hygiene; Wear protective mask; Stay hydrated; Carry prescribed medicines,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Critical
Obesity,High,Antibiotics; Ibuprofen; Pain Reliever,Stay hydrated; Wear protective mask; Take adequate rest; Avoid extreme temperatures,Avoid heavy physical activity; Consult doctor before travel; Use mosquito repellent,High
Ulcer,Low,Bronchodilator; Antimalarial,Wear protective mask; Stay hydrated; Maintain hygiene; Take adequate rest,Use mosquito repellent; Consult doctor before travel; Carry emergency kit,Critical
Rabies,Low,ORS; Antivirals; Steroids; Antibiotics,Maintain hygiene; Take adequate rest; Carry prescribed medicines; Wear protective mask,Carry emergency kit; Consult doctor before travel; Use mosquito repellent,Low
COVID-19,Moderate,Paracetamol; Pain Reliever,Wear protective mask; Stay hydrated; Avoid crowded places; Avoid extreme temperatures,Consult doctor before travel; Use mosquito repellent; Avoid heavy physical activity,Low
Epilepsy,High,Steroids; ORS; Antihistamine,Stay hydrated; Wear protective mask; Avoid extreme temperatures; Carry prescribed medicines,Follow medication schedule; Use mosquito repellent; Avoid allergens,High
HIV/AIDS,High,Bronchodilator; Insulin; Steroids; Paracetamol,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Carry prescribed medicines,Avoid allergens; Carry emergency kit; Use mosquito repellent,High
Alzheimer's,Moderate,Antimalarial; ORS; Pain Reliever,Avoid crowded places; Stay hydrated; Maintain hygiene; Monitor symptoms regularly,Avoid allergens; Consult doctor before travel; Follow medication schedule,Low
COVID-19,Low,Bronchodilator; Ibuprofen; Pain Reliever,Take adequate rest; Wear protective mask; Stay hydrated; Monitor symptoms regularly,Carry emergency kit; Use mosquito repellent; Avoid heavy physical activity,Moderate
Multiple Sclerosis,High,Ibuprofen; Insulin; Paracetamol,Wear protective mask; Maintain hygiene; Monitor symptoms regularly; Stay hydrated,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Low
Fungal Infection,High,Insulin; Antihistamine; Antibiotics; Bronchodilator,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Take adequate rest,Use mosquito repellent; Consult doctor before travel; Follow medication schedule,High
Heat Exhaustion,High,Antimalarial; Bronchodilator; Paracetamol; Steroids,Maintain hygiene; Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures,Carry emergency kit; Use mosquito repellent; Avoid heavy physical activity,Critical
Obesity,Moderate,ORS; Antimalarial; Ibuprofen,Maintain hygiene; Avoid extreme temperatures; Avoid crowded places; Carry prescribed medicines,Avoid heavy physical activity; Follow medication schedule; Use mosquito repellent,Moderate
Diabetes,Moderate,Antihistamine; Antivirals; ORS; Ibuprofen,Avoid crowded places; Maintain hygiene; Wear protective mask; Monitor symptoms regularly,Consult doctor before travel; Follow medication schedule; Avoid allergens,Moderate
Polio,Low,Antibiotics; Insulin; Paracetamol; ORS,Wear protective mask; Monitor symptoms regularly; Stay hydrated; Avoid crowded places,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Low
Rabies,High,Steroids; Antimalarial; Insulin,Take adequate rest; Avoid crowded places; Avoid extreme temperatures; Monitor symptoms regularly,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,Critical
Heart Disease,Low,ORS; Steroids; Bronchodilator,Take adequate rest; Stay hydrated; Avoid extreme temperatures; Avoid crowded places,Follow medication schedule; Consult doctor before travel; Avoid allergens,Critical
Diabetes,High,Steroids; Bronchodilator; ORS,Wear protective mask; Maintain hygiene; Avoid crowded places; Avoid extreme temperatures,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Low
Obesity,Low,Insulin; Antibiotics,Take adequate rest; Avoid extreme temperatures; Stay hydrated; Carry prescribed medicines,Avoid allergens; Avoid heavy physical activity; Consult doctor before travel,Moderate
Dehydration,Low,Bronchodilator; Antibiotics; ORS,Wear protective mask; Carry prescribed medicines; Avoid extreme temperatures; Stay hydrated,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Moderate
Tuberculosis,Moderate,ORS; Antibiotics; Ibuprofen; Antihistamine,Maintain hygiene; Carry prescribed medicines; Avoid crowded places; Take adequate rest,Carry emergency kit; Consult doctor before travel; Follow medication schedule,Critical
Insomnia,Moderate,ORS; Insulin; Ibuprofen,Carry prescribed medicines; Wear protective mask; Take adequate rest; Stay hydrated,Carry emergency kit; Use mosquito repellent; Consult doctor before travel,Critical
Rabies,High,Steroids; Paracetamol; Antimalarial; ORS,Maintain hygiene; Monitor symptoms regularly; Avoid crowded places; Stay hydrated,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Low
Depression,High,Paracetamol; ORS; Bronchodilator; Insulin,Carry prescribed medicines; Wear protective mask; Stay hydrated; Avoid extreme temperatures,Carry emergency kit; Avoid heavy physical activity; Avoid allergens,Low
Astigmatism,Low,Antihistamine; Ibuprofen; Pain Reliever; Bronchodilator,Avoid crowded places; Maintain hygiene; Carry prescribed medicines; Wear protective mask,Consult doctor before travel; Avoid allergens; Follow medication schedule,Low
Kidney Disease,Low,Bronchodilator; Ibuprofen; Steroids,Take adequate rest; Stay hydrated; Avoid extreme temperatures; Carry prescribed medicines,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,Critical
Heart Disease,Moderate,Ibuprofen; ORS,Wear protective mask; Take adequate rest; Monitor symptoms regularly; Carry prescribed medicines,Consult doctor before travel; Avoid allergens; Use mosquito repellent,Low
Leprosy,Moderate,ORS; Steroids; Paracetamol; Antihistamine,Avoid extreme temperatures; Avoid crowded places; Carry prescribed medicines; Take adequate rest,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,High
Rabies,High,Antivirals; Insulin; Antihistamine,Maintain hygiene; Stay hydrated; Take adequate rest; Wear protective mask,Avoid allergens; Consult doctor before travel; Carry emergency kit,Low
Vitamin B12 Deficiency,Moderate,Antivirals; Steroids; Antimalarial; Antihistamine,Maintain hygiene; Avoid crowded places; Carry prescribed medicines; Stay hydrated,Avoid allergens; Use mosquito repellent; Follow medication schedule,Moderate
Leprosy,Low,Ibuprofen; Insulin,Stay hydrated; Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Critical
Flu,Moderate,Ibuprofen; Pain Reliever,Avoid crowded places; Avoid extreme temperatures; Wear protective mask; Take adequate rest,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,High
Asthma,Low,Paracetamol; ORS; Insulin; Pain Reliever,Wear protective mask; Stay hydrated; Maintain hygiene; Avoid extreme temperatures,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,Critical
Leprosy,Moderate,ORS; Antibiotics,Avoid extreme temperatures; Maintain hygiene; Avoid crowded places; Wear protective mask,Follow medication schedule; Consult doctor before travel; Carry emergency kit,Critical
Anxiety,Low,Steroids; Antibiotics; Paracetamol; Ibuprofen,Take adequate rest; Monitor symptoms regularly; Maintain hygiene; Wear protective mask,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,Low
Leprosy,High,Bronchodilator; Antibiotics,Avoid crowded places; Maintain hygiene; Carry prescribed medicines; Stay hydrated,Carry emergency kit; Follow medication schedule; Avoid heavy physical activity,High
Cholera,High,Pain Reliever; ORS; Antimalarial,Carry prescribed medicines; Maintain hygiene; Avoid extreme temperatures; Take adequate rest,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,High
Ringworm,Low,Antivirals; ORS; Pain Reliever; Antihistamine,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Maintain hygiene,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Moderate
Thyroid Disorder,Low,Antivirals; Pain Reliever; Steroids,Avoid crowded places; Avoid extreme temperatures; Take adequate rest; Maintain hygiene,Avoid heavy physical activity; Carry emergency kit; Use mosquito repellent,Critical
Vitamin B12 Deficiency,Low,Pain Reliever; Antimalarial; Bronchodilator,Take adequate rest; Maintain hygiene; Avoid crowded places; Wear protective mask,Carry emergency kit; Consult doctor before travel; Avoid allergens,Critical
Gastritis,High,Antihistamine; Antivirals; Antibiotics; Insulin,Stay hydrated; Carry prescribed medicines; Maintain hygiene; Wear protective mask,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Moderate
Stroke,Low,Steroids; Pain Reliever,Stay hydrated; Take adequate rest; Carry prescribed medicines; Avoid crowded places,Carry emergency kit; Consult doctor before travel; Avoid heavy physical activity,High
Back Pain,High,Pain Reliever; Steroids; Antihistamine,Wear protective mask; Stay hydrated; Carry prescribed medicines; Take adequate rest,Follow medication schedule; Avoid allergens; Carry emergency kit,Moderate
Skin Infection,High,Paracetamol; Insulin; Antimalarial; Ibuprofen,Maintain hygiene; Avoid extreme temperatures; Carry prescribed medicines; Avoid crowded places,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Moderate
IBS,High,Steroids; Antihistamine,Avoid extreme temperatures; Stay hydrated; Maintain hygiene; Wear protective mask,Follow medication schedule; Consult doctor before travel; Avoid heavy physical activity,Critical
Vitamin D Deficiency,High,Insulin; Ibuprofen,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Wear protective mask,Follow medication schedule; Avoid allergens; Avoid heavy physical activity,Moderate
Cold,Low,Paracetamol; Insulin; Ibuprofen; Antibiotics,Monitor symptoms regularly; Carry prescribed medicines; Avoid crowded places; Stay hydrated,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Low
Cholera,High,Ibuprofen; Antivirals; Bronchodilator; Paracetamol,Maintain hygiene; Avoid crowded places; Monitor symptoms regularly; Take adequate rest,Carry emergency kit; Consult doctor before travel; Avoid heavy physical activity,Critical
Typhoid,Low,Bronchodilator; ORS,Maintain hygiene; Monitor symptoms regularly; Wear protective mask; Avoid extreme temperatures,Consult doctor before travel; Avoid heavy physical activity; Use mosquito repellent,Moderate
Polio,High,Bronchodilator; ORS,Avoid extreme temperatures; Stay hydrated; Maintain hygiene; Take adequate rest,Consult doctor before travel; Carry emergency kit; Avoid allergens,Low
Arthritis,Moderate,Antibiotics; Antivirals,Stay hydrated; Monitor symptoms regularly; Carry prescribed medicines; Take adequate rest,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Critical
Hepatitis,Moderate,Bronchodilator; Antimalarial,Monitor symptoms regularly; Avoid extreme temperatures; Maintain hygiene; Stay hydrated,Consult doctor before travel; Use mosquito repellent; Avoid allergens,High
Malaria,High,Paracetamol; Pain Reliever; Antivirals; Antibiotics,Maintain hygiene; Stay hydrated; Wear protective mask; Carry prescribed medicines,Avoid allergens; Avoid heavy physical activity; Use mosquito repellent,Low
Depression,Low,Antimalarial; Ibuprofen; Steroids; Insulin,Maintain hygiene; Wear protective mask; Stay hydrated; Monitor symptoms regularly,Avoid allergens; Carry emergency kit; Consult doctor before travel,Low
Leprosy,Low,Ibuprofen; Antimalarial; Steroids; Bronchodilator,Avoid extreme temperatures; Maintain hygiene; Carry prescribed medicines; Take adequate rest,Carry emergency kit; Consult doctor before travel; Avoid allergens,Moderate
Deep Vein Thrombosis,Low,Pain Reliever; Ibuprofen,Avoid extreme temperatures; Monitor symptoms regularly; Stay hydrated; Maintain hygiene,Use mosquito repellent; Consult doctor before travel; Carry emergency kit,Moderate
Pancreatitis,Low,Antimalarial; Steroids,Avoid extreme temperatures; Monitor symptoms regularly; Take adequate rest; Maintain hygiene,Carry emergency kit; Avoid heavy physical activity; Use mosquito repellent,Moderate
Heart Disease,High,Antivirals; Paracetamol; Insulin; Pain Reliever,Maintain hygiene; Take adequate rest; Carry prescribed medicines; Wear protective mask,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,High
Neck Pain,Low,ORS; Pain Reliever,Stay hydrated; Monitor symptoms regularly; Avoid extreme temperatures; Maintain hygiene,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,Moderate
Scabies,Low,Antibiotics; Insulin,Avoid extreme temperatures; Take adequate rest; Avoid crowded places; Wear protective mask,Carry emergency kit; Use mosquito repellent; Follow medication schedule,High
Hepatitis,Low,Steroids; Pain Reliever; Antivirals; Bronchodilator,Carry prescribed medicines; Take adequate rest; Maintain hygiene; Avoid extreme temperatures,Avoid allergens; Use mosquito repellent; Follow medication schedule,Low
Flu,High,Insulin; Antimalarial,Avoid crowded places; Monitor symptoms regularly; Carry prescribed medicines; Maintain hygiene,Consult doctor before travel; Avoid heavy physical activity; Use mosquito repellent,Moderate
Chickenpox,Low,Insulin; Paracetamol,Wear protective mask; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Low
Eye Infection,Low,Pain Reliever; Ibuprofen,Maintain hygiene; Carry prescribed medicines; Monitor symptoms regularly; Avoid crowded places,Avoid allergens; Consult doctor before travel; Avoid heavy physical activity,Moderate
Ringworm,Low,Antivirals; Antibiotics; Antihistamine; Pain Reliever,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Carry prescribed medicines,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,Moderate
Alzheimer's,High,Antibiotics; Steroids; Bronchodilator; Antihistamine,Wear protective mask; Take adequate rest; Carry prescribed medicines; Avoid crowded places,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Moderate
Cholera,Moderate,Antimalarial; Antivirals; ORS,Stay hydrated; Carry prescribed medicines; Take adequate rest; Monitor symptoms regularly,Carry emergency kit; Avoid allergens; Use mosquito repellent,Moderate
Dengue,Moderate,Antibiotics; Paracetamol; Insulin; Antihistamine,Avoid crowded places; Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated,Avoid allergens; Consult doctor before travel; Follow medication schedule,Low
Epilepsy,Moderate,Paracetamol; Antihistamine,Stay hydrated; Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures,Consult doctor before travel; Carry emergency kit; Use mosquito repellent,Low
Skin Infection,Moderate,Antimalarial; Antibiotics; Ibuprofen,Maintain hygiene; Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures,Avoid heavy physical activity; Follow medication schedule; Consult doctor before travel,Low
Vitamin D Deficiency,Moderate,Antimalarial; Paracetamol; Antivirals,Stay hydrated; Carry prescribed medicines; Wear protective mask; Maintain hygiene,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,Low
Heat Exhaustion,Low,ORS; Antimalarial; Insulin; Steroids,Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly; Wear protective mask,Follow medication schedule; Avoid allergens; Carry emergency kit,High
Ulcer,Moderate,Paracetamol; Antibiotics; Antihistamine; Ibuprofen,Avoid crowded places; Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly,Use mosquito repellent; Avoid heavy physical activity; Avoid allergens,Moderate
Meningitis,High,Antivirals; Ibuprofen; Antihistamine; Antimalarial,Monitor symptoms regularly; Wear protective mask; Avoid extreme temperatures; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Moderate
Insomnia,High,ORS; Insulin,Take adequate rest; Avoid extreme temperatures; Carry prescribed medicines; Wear protective mask,Avoid allergens; Use mosquito repellent; Carry emergency kit,High
Tuberculosis,Low,Antivirals; Antibiotics,Wear protective mask; Monitor symptoms regularly; Take adequate rest; Maintain hygiene,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Low
Food Poisoning,Low,Antimalarial; ORS; Ibuprofen; Paracetamol,Avoid extreme temperatures; Carry prescribed medicines; Take adequate rest; Maintain hygiene,Carry emergency kit; Consult doctor before travel; Follow medication schedule,Critical
Gallstones,Low,Insulin; ORS; Paracetamol; Bronchodilator,Carry prescribed medicines; Avoid crowded places; Avoid extreme temperatures; Take adequate rest,Consult doctor before travel; Use mosquito repellent; Avoid heavy physical activity,High
Vitamin B12 Deficiency,Moderate,Antibiotics; Steroids,Maintain hygiene; Monitor symptoms regularly; Wear protective mask; Stay hydrated,Consult doctor before travel; Use mosquito repellent; Avoid allergens,Low
Psoriasis,High,Bronchodilator; Insulin; Antihistamine,Maintain hygiene; Stay hydrated; Wear protective mask; Take adequate rest,Use mosquito repellent; Avoid allergens; Carry emergency kit,Critical
Dengue,Low,Paracetamol; Antihistamine; ORS; Antimalarial,Maintain hygiene; Avoid crowded places; Wear protective mask; Stay hydrated,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,High
Rabies,Low,Antivirals; Antihistamine; Antimalarial,Wear protective mask; Take adequate rest; Avoid crowded places; Maintain hygiene,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,Critical
Migraine,Low,Bronchodilator; Pain Reliever; Steroids; Antivirals,Wear protective mask; Carry prescribed medicines; Avoid crowded places; Stay hydrated,Consult doctor before travel; Avoid allergens; Use mosquito repellent,Critical
Tuberculosis,High,Ibuprofen; Pain Reliever; Insulin; Antibiotics,Carry prescribed medicines; Take adequate rest; Avoid extreme temperatures; Avoid crowded places,Consult doctor before travel; Avoid heavy physical activity; Avoid allergens,High
Osteoporosis,Moderate,Antivirals; Pain Reliever; Antihistamine,Monitor symptoms regularly; Wear protective mask; Stay hydrated; Carry prescribed medicines,Use mosquito repellent; Avoid heavy physical activity; Avoid allergens,Moderate
IBS,High,Insulin; Ibuprofen,Carry prescribed medicines; Maintain hygiene; Avoid extreme temperatures; Take adequate rest,Follow medication schedule; Consult doctor before travel; Avoid allergens,High
Deep Vein Thrombosis,Low,Antimalarial; Antibiotics; Ibuprofen,Monitor symptoms regularly; Maintain hygiene; Wear protective mask; Stay hydrated,Follow medication schedule; Carry emergency kit; Avoid allergens,High
Altitude Sickness,High,Antivirals; Antimalarial; Pain Reliever,Take adequate rest; Avoid extreme temperatures; Avoid crowded places; Monitor symptoms regularly,Follow medication schedule; Avoid allergens; Avoid heavy physical activity,Low
Gastritis,Low,Ibuprofen; Bronchodilator; Antibiotics,Maintain hygiene; Wear protective mask; Avoid extreme temperatures; Monitor symptoms regularly,Consult doctor before travel; Use mosquito repellent; Avoid heavy physical activity,Moderate
Gallstones,Moderate,Antibiotics; Antimalarial; ORS,Stay hydrated; Avoid extreme temperatures; Take adequate rest; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,High
Rabies,Moderate,Ibuprofen; ORS; Steroids,Avoid extreme temperatures; Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated,Avoid allergens; Carry emergency kit; Use mosquito repellent,High
Depression,Moderate,Pain Reliever; ORS; Antimalarial,Avoid crowded places; Take adequate rest; Avoid extreme temperatures; Maintain hygiene,Avoid allergens; Follow medication schedule; Consult doctor before travel,Critical
Eye Infection,Moderate,Paracetamol; Steroids; Antibiotics; Bronchodilator,Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures; Wear protective mask,Carry emergency kit; Avoid heavy physical activity; Follow medication schedule,High
Stroke,Moderate,Antivirals; Steroids,Take adequate rest; Stay hydrated; Monitor symptoms regularly; Wear protective mask,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,Moderate
Polio,Low,Bronchodilator; ORS,Maintain hygiene; Avoid crowded places; Stay hydrated; Wear protective mask,Carry emergency kit; Follow medication schedule; Avoid allergens,Low
Leprosy,Low,Insulin; Paracetamol; Ibuprofen; Steroids,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures,Avoid heavy physical activity; Avoid allergens; Carry emergency kit,Critical
Bronchitis,High,Paracetamol; Ibuprofen; Insulin; Pain Reliever,Wear protective mask; Avoid crowded places; Stay hydrated; Maintain hygiene,Consult doctor before travel; Avoid heavy physical activity; Use mosquito repellent,High
Osteoporosis,High,Ibuprofen; Antivirals; Bronchodilator,Avoid crowded places; Carry prescribed medicines; Maintain hygiene; Stay hydrated,Use mosquito repellent; Avoid heavy physical activity; Carry emergency kit,Critical
Heart Disease,High,Bronchodilator; Ibuprofen,Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,Critical
Rabies,Low,Antibiotics; Antihistamine,Carry prescribed medicines; Monitor symptoms regularly; Avoid extreme temperatures; Take adequate rest,Avoid allergens; Avoid heavy physical activity; Follow medication schedule,Moderate
Epilepsy,Low,Paracetamol; Antihistamine; Antivirals,Maintain hygiene; Take adequate rest; Carry prescribed medicines; Wear protective mask,Use mosquito repellent; Follow medication schedule; Avoid allergens,Critical
Pneumonia,High,Paracetamol; Bronchodilator; Ibuprofen; Pain Reliever,Stay hydrated; Carry prescribed medicines; Avoid crowded places; Maintain hygiene,Avoid allergens; Follow medication schedule; Use mosquito repellent,High
Hypertension,Moderate,Bronchodilator; Pain Reliever; Paracetamol; Ibuprofen,Stay hydrated; Take adequate rest; Maintain hygiene; Avoid extreme temperatures,Avoid allergens; Follow medication schedule; Use mosquito repellent,Low
Measles,High,Antibiotics; Steroids,Stay hydrated; Monitor symptoms regularly; Take adequate rest; Maintain hygiene,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,Low
Sleep Apnea,Low,Antimalarial; Antibiotics; Bronchodilator,Take adequate rest; Avoid extreme temperatures; Stay hydrated; Carry prescribed medicines,Avoid allergens; Use mosquito repellent; Avoid heavy physical activity,Critical
Chickenpox,Moderate,Antivirals; Paracetamol; Antibiotics,Wear protective mask; Avoid crowded places; Monitor symptoms regularly; Maintain hygiene,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,Critical
Celiac Disease,Low,Antibiotics; Paracetamol; Antivirals; Pain Reliever,Carry prescribed medicines; Avoid crowded places; Monitor symptoms regularly; Take adequate rest,Follow medication schedule; Avoid heavy physical activity; Consult doctor before travel,Moderate
Measles,High,Ibuprofen; Antimalarial; Bronchodilator,Maintain hygiene; Monitor symptoms regularly; Take adequate rest; Avoid crowded places,Carry emergency kit; Avoid heavy physical activity; Avoid allergens,Critical
Malaria,Moderate,Antibiotics; Pain Reliever; Antivirals; Antimalarial,Maintain hygiene; Carry prescribed medicines; Avoid extreme temperatures; Wear protective mask,Carry emergency kit; Avoid allergens; Follow medication schedule,Moderate
Deep Vein Thrombosis,Low,Pain Reliever; Steroids; ORS; Ibuprofen,Avoid extreme temperatures; Stay hydrated; Avoid crowded places; Carry prescribed medicines,Carry emergency kit; Avoid allergens; Consult doctor before travel,High
Vitamin D Deficiency,Moderate,Insulin; Antibiotics,Avoid crowded places; Monitor symptoms regularly; Wear protective mask; Carry prescribed medicines,Follow medication schedule; Avoid heavy physical activity; Consult doctor before travel,Critical
Eye Infection,Low,Antihistamine; Pain Reliever,Monitor symptoms regularly; Wear protective mask; Avoid extreme temperatures; Stay hydrated,Carry emergency kit; Follow medication schedule; Consult doctor before travel,Moderate
Flu,High,Antivirals; Antibiotics; Antimalarial,Avoid extreme temperatures; Maintain hygiene; Stay hydrated; Avoid crowded places,Consult doctor before travel; Carry emergency kit; Avoid heavy physical activity,Low
Flu,Low,Bronchodilator; Ibuprofen; Antihistamine,Avoid extreme temperatures; Stay hydrated; Avoid crowded places; Maintain hygiene,Carry emergency kit; Follow medication schedule; Avoid allergens,Moderate
Cold,High,Steroids; Antibiotics; Antivirals; Antihistamine,Carry prescribed medicines; Take adequate rest; Monitor symptoms regularly; Maintain hygiene,Follow medication schedule; Carry emergency kit; Use mosquito repellent,Low
Polio,High,Bronchodilator; Insulin,Carry prescribed medicines; Maintain hygiene; Avoid extreme temperatures; Monitor symptoms regularly,Avoid heavy physical activity; Use mosquito repellent; Carry emergency kit,Moderate
Sinusitis,Moderate,Antimalarial; Paracetamol; Steroids; Ibuprofen,Take adequate rest; Wear protective mask; Maintain hygiene; Stay hydrated,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,High
